month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
8,11,2022,8/11/2022,41.42904261,-83.04742337,0,M,,,,214.7610696,Non-Random
6,7,2022,6/7/2022,41.3620759,-83.10227057,0,FM,,,,436.8679995,Non-Random
7,5,2022,7/5/2022,41.68848323,-83.39902422,0,FM,,,,673.52,Non-Random
7,5,2022,7/5/2022,41.4067,-83.0787,0,LM,,,,531.6394431,Non-Random
4,7,2022,4/7/2022,41.37114521,-83.09567481,0,FM,,,,534.5538361,Non-Random
7,5,2022,7/5/2022,41.36966023,-83.1025579,0,FM,,,,534.3395091,Non-Random
9,20,2022,9/20/2022,41.42580803,-83.04806304,0,M,,,,1090.426806,Non-Random
6,7,2022,6/7/2022,41.38056572,-83.09569818,0,FM,,,,470.8227137,Non-Random
7,5,2022,7/5/2022,41.37,-83.096,0,FM,,,,188.7060171,Non-Random
6,7,2022,6/7/2022,41.37016672,-83.10074345,0,FM,,,,494.3600746,Non-Random
4,21,2022,4/21/2022,41.41307541,-83.08369479,0,LM,,,,579.4816615,Non-Random
7,27,2022,7/27/2022,41.4035175,-83.08259248,0,LM,,,,986.415054,Non-Random
7,20,2022,7/20/2022,41.36689155,-83.10680807,0,FM,,,,780.2898937,Non-Random
7,13,2022,7/13/2022,41.39375,-83.106,0,UM,,,,547.4168118,Non-Random
4,21,2022,4/21/2022,41.39371814,-83.11113766,0,UM,,,,532.0749393,Non-Random
7,27,2022,7/27/2022,41.41900378,-83.07508433,0,LM,,,,1018.95322,Non-Random
7,27,2022,7/27/2022,41.41065071,-83.07813867,0,LM,,,,987.8151776,Non-Random
7,5,2022,7/5/2022,41.392,-83.09,0,UM,,,,409.8822745,Non-Random
6,3,2022,6/3/2022,41.386,-83.093,0,UM,,,,371.3264217,Non-Random
9,25,2022,9/25/2022,41.42506085,-83.0495782,1,M,,,,1291.898953,Non-Random
4,19,2022,4/19/2022,41.39326355,-83.10650847,0,UM,,,,448.321123,Non-Random
8,4,2022,8/4/2022,41.41343,-83.08284,0,LM,,,,443.6304323,Non-Random
7,13,2022,7/13/2022,41.39265,-83.0899,0,UM,,,,475.4166303,Non-Random
4,7,2022,4/7/2022,41.36425841,-83.10630279,0,FM,,,,512.0229568,Non-Random
9,28,2022,9/28/2022,41.39363188,-83.09488755,0,UM,,,,1390.771518,Non-Random
4,21,2022,4/21/2022,41.41750621,-83.08532912,0,LM,,,,477.1571843,Non-Random
7,5,2022,7/5/2022,41.352,-83.111,0,FM,,,,922.6418559,Non-Random
7,5,2022,7/5/2022,41.397,-83.101,0,UM,,,,123.6119002,Non-Random
6,7,2022,6/7/2022,41.35622817,-83.10539534,0,FM,,,,378.7267748,Non-Random
7,27,2022,7/27/2022,41.4197826,-83.07508358,0,LM,,,,980.5789025,Non-Random
4,13,2022,4/13/2022,41.41356357,-83.08330987,0,LM,,,,579.4816615,Non-Random
4,13,2022,4/13/2022,41.39395039,-83.09592098,0,UM,,,,532.7737149,Non-Random
9,29,2022,9/29/2022,41.38166823,-83.0970345,0,UM,,,,809.8033276,Non-Random
6,6,2022,6/6/2022,41.39452695,-83.10670833,0,UM,,,,46.99965692,Non-Random
9,25,2022,9/25/2022,41.43457574,-83.02928073,0,M,,,,628.7393057,Non-Random
5,12,2022,5/12/2022,41.39209821,-83.08894165,0,UM,,,,348.7805352,Non-Random
9,21,2022,9/21/2022,41.40674935,-83.07852757,0,LM,,,,669.878619,Non-Random
8,31,2022,8/31/2022,41.42489593,-83.0491706,0,M,,,,512.0365111,Non-Random
8,11,2022,8/11/2022,41.39364516,-83.09572243,0,UM,,,,969.99637,Non-Random
9,28,2022,9/28/2022,41.39364879,-83.09513983,0,UM,,,,926.2311237,Non-Random
5,18,2022,5/18/2022,41.39283323,-83.09046731,0,UM,,,,766.4711656,Non-Random
8,4,2022,8/4/2022,41.3892,-83.10458,0,UM,,,,377.9164398,Non-Random
7,5,2022,7/5/2022,41.3698,-83.1033,0,FM,,,,473.2248678,Non-Random
7,13,2022,7/13/2022,41.38957,-83.08563,0,UM,,,,472.6260006,Non-Random
11,8,2022,11/8/2022,41.43396437,-83.02985587,0,M,,,,671.0398427,Non-Random
7,20,2022,7/20/2022,41.38135059,-83.09599785,0,UM,,,,438.3439269,Random
6,7,2022,6/7/2022,41.36217444,-83.10172209,0,FM,,,,450.570982,Non-Random
5,17,2022,5/17/2022,41.3699631,-83.10229985,0,FM,,,,499.1332,Non-Random
7,5,2022,7/5/2022,41.387,-83.0851,0,UM,,,,289.4516766,Non-Random
10,13,2022,10/13/2022,41.36309977,-83.10568011,0,FM,,,,337.3552106,Sustained
5,16,2022,5/16/2022,41.38006493,-83.09589261,1,FM,,,,809.5507927,Non-Random
7,27,2022,7/27/2022,41.38944293,-83.1051789,0,UM,,,,1028.873164,Non-Random
7,13,2022,7/13/2022,41.39298,-83.10626,0,UM,,,,478.2497894,Non-Random
5,19,2022,5/19/2022,41.38954096,-83.10558878,0,UM,,,,415.2846483,Non-Random
8,4,2022,8/4/2022,41.3996,-83.09928,0,UM,,,,468.3980427,Non-Random
9,20,2022,9/20/2022,41.40217121,-83.09435517,0,UM,,,,596.1490036,Non-Random
6,2,2022,6/2/2022,41.37362732,-83.09497225,0,FM,,,,321.0462641,Non-Random
5,31,2022,5/31/2022,41.38446336,-83.09640975,0,UM,,,,488.0448361,Non-Random
4,28,2022,4/28/2022,41.390327,-83.10327121,0,UM,,,,593.5563292,Non-Random
11,9,2022,11/9/2022,41.42990705,-83.06123609,2,LM,,,,1257.261093,Non-Random
6,6,2022,6/6/2022,41.38695259,-83.09187721,0,UM,,,,671.0316487,Random
5,10,2022,5/10/2022,41.4034176,-83.08264408,0,LM,,,,503.7173565,Non-Random
5,17,2022,5/17/2022,41.38020079,-83.09560463,0,FM,,,,777.8232459,Non-Random
7,27,2022,7/27/2022,41.38956573,-83.08613224,0,UM,,,,971.8510812,Non-Random
7,5,2022,7/5/2022,41.38,-83.096,0,FM,,,,419.9935356,Non-Random
9,8,2022,9/8/2022,41.39360866,-83.09453567,0,UM,,,,1382.632247,Non-Random
9,12,2022,9/12/2022,41.39258495,-83.08953155,0,UM,,,,1588.383975,Non-Random
11,8,2022,11/8/2022,41.41900517,-83.07581862,0,LM,,,,816.8818133,Non-Random
8,16,2022,8/16/2022,41.3944655,-83.10646346,0,UM,,,,615.8566753,Non-Random
4,28,2022,4/28/2022,41.38024151,-83.09553608,0,UM,,,,495.3180627,Non-Random
11,8,2022,11/8/2022,41.42231866,-83.0649391,0,LM,,,,1231.084024,Non-Random
6,6,2022,6/6/2022,41.44785304,-83.02615526,0,M,,,,1099.387505,Random
8,4,2022,8/4/2022,41.68842132,-83.39901192,0,UM,,,,673.52,Non-Random
4,14,2022,4/14/2022,41.37148941,-83.09558972,0,FM,,,,508.6322344,Non-Random
4,13,2022,4/13/2022,41.38930989,-83.10521897,0,UM,,,,443.3838692,Non-Random
9,28,2022,9/28/2022,41.40175092,-83.09590724,0,UM,,,,774.0651868,Non-Random
4,6,2022,4/6/2022,41.43672953,-83.04279268,0,M,,,,530.3571259,Non-Random
7,27,2022,7/27/2022,41.3940627,-83.09565347,0,UM,,,,952.022976,Non-Random
4,14,2022,4/14/2022,41.35859195,-83.10132084,0,FM,,,,424.841921,Non-Random
4,14,2022,4/14/2022,41.35278735,-83.10581215,0,TBD,,,,368.8776788,Non-Random
7,5,2022,7/5/2022,41.4173,-83.085,0,LM,,,,498.9801201,Non-Random
6,3,2022,6/3/2022,41.371,-83.095,0,FM,,,,424.598626,Non-Random
