month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance
10,20,2020,10/20/2020,41.36068739,-83.09994823,0,FM,,,,677.3033096
10,26,2020,10/26/2020,41.38534959,-83.08577883,0,UM,,,,480.1083329
10,26,2020,10/26/2020,41.3845852,-83.09640392,0,UM,,,,467.9247418
10,26,2020,10/26/2020,41.37206956,-83.09492036,1,FM,,,,391.9843536
10,26,2020,10/26/2020,41.36769097,-83.10663737,0,FM,,,,477.144408
10,26,2020,10/26/2020,41.35561,-83.107,0,FM,,,,268.2017704
10,26,2020,10/26/2020,41.3586,-83.10004,0,FM,,,,299.8946943
10,26,2020,10/26/2020,41.35931242,-83.10057559,0,FM,,,,295.5587068
10,28,2020,10/28/2020,41.39048926,-83.1060402,0,UM,,,,422.0448047
10,28,2020,10/28/2020,41.39320891,-83.09930623,0,UM,,,,629.5183408
10,28,2020,10/28/2020,41.371452,-83.09543102,0,FM,,,,476.3183207
10,28,2020,10/28/2020,41.37831507,-83.09543762,0,FM,,,,434.575592
10,28,2020,10/28/2020,41.36529248,-83.10664117,0,FM,,,,725.1475865
10,28,2020,10/28/2020,41.36210761,-83.1025285,0,FM,,,,571.2762785
10,28,2020,10/28/2020,41.36010595,-83.10011933,0,FM,,,,292.0110101
4,19,2021,4/19/2021,41.38919881,-83.1039413,0,UM,,,,322.757194
4,19,2021,4/19/2021,41.38653736,-83.09084278,0,UM,,,,222.8747207
4,19,2021,4/19/2021,41.37252919,-83.09497084,0,FM,,,,307.2313653
4,19,2021,4/19/2021,41.37832512,-83.09520443,1,FM,,,,177.0962481
4,19,2021,4/19/2021,41.35985522,-83.1003035,0,FM,,,,280.745101
4,27,2021,4/27/2021,41.41347404,-83.08429407,1,LM,,,,414.0156719
4,27,2021,4/27/2021,41.39101,-83.1031,1,UM,,,,95.35621651
4,28,2021,4/28/2021,41.38927087,-83.10541231,0,UM,,,,471.5184253
4,28,2021,4/28/2021,41.39200509,-83.10121921,0,UM,,,,500.6924057
4,28,2021,4/28/2021,41.39266163,-83.09053409,0,UM,,,,505.3155578
4,28,2021,4/28/2021,41.38680489,-83.09140721,0,UM,,,,504.8215151
4,28,2021,4/28/2021,41.3853491,-83.08597571,0,UM,,,,505.0834628
4,28,2021,4/28/2021,41.38441995,-83.0966445,0,UM,,,,415.5122716
4,28,2021,4/28/2021,41.37605316,-83.09541672,0,FM,,,,546.4778389
4,28,2021,4/28/2021,41.36760483,-83.10680844,0,FM,,,,475.7632669
4,28,2021,4/28/2021,41.35059807,-83.11081572,0,FM,,,,843.6934533
4,28,2021,4/28/2021,41.35055697,-83.11047208,0,FM,,,,803.6495907
5,6,2021,5/6/2021,41.40265,-83.08512,1,LM,,,,535.716443
5,11,2021,5/11/2021,41.42909,-83.05856,0,LM,,,,580.8976722
5,11,2021,5/11/2021,41.4278,-83.04999,0,M,,,,580.8976722
5,11,2021,5/11/2021,41.42747,-83.05596,0,M,,,,87.78954466
5,11,2021,5/11/2021,41.42781,-83.06087,0,M,,,,580.8976722
5,11,2021,5/11/2021,41.42258,-83.06892,0,M,,,,580.8976722
5,11,2021,5/11/2021,41.42526,-83.05091,0,M,,,,1213.390251
5,11,2021,5/11/2021,41.42338,-83.06493,0,M,,,,230.1455663
5,11,2021,5/11/2021,41.42004,-83.07183,0,LM,,,,580.8976722
5,11,2021,5/11/2021,41.42023,-83.07712,0,LM,,,,580.8976722
5,11,2021,5/11/2021,41.39183,-83.10232,0,UM,,,,526.1404195
5,11,2021,5/11/2021,41.38693747,-83.09079815,0,UM,,,,697.3599571
5,11,2021,5/11/2021,41.38556,-83.09585,0,UM,,,,332.5082304
5,12,2021,5/12/2021,41.386733,-83.084867,1,UM,,,,1167.37863
5,14,2021,5/14/2021,41.38271003,-83.09676939,0,UM,,,,383.0078129
5,14,2021,5/14/2021,41.37228563,-83.09491921,0,FM,,,,405.4185727
5,14,2021,5/14/2021,41.37698815,-83.09547963,0,FM,,,,299.950729
5,14,2021,5/14/2021,41.35058882,-83.11113062,0,FM,,,,231.8730689
5,14,2021,5/14/2021,41.35313565,-83.10561973,0,FM,,,,290.0158609
5,14,2021,5/14/2021,41.3598737,-83.10015708,0,FM,,,,314.3009065
5,14,2021,5/14/2021,41.35311563,-83.11016082,0,FM,,,,455.5898213
5,16,2021,5/16/2021,41.40337,-83.08289,0,LM,,,,189.415277
5,17,2021,5/17/2021,41.43802,-83.03236,0,LM,,,,11.63567107
5,20,2021,5/20/2021,41.38665,-83.09296,0,UM,,,,465.0957255
5,20,2021,5/20/2021,41.3779852,-83.09511649,0,FM,,,,279.5467839
5,20,2021,5/20/2021,41.36600978,-83.10728118,0,FM,,,,242.5698136
5,25,2021,5/25/2021,41.417277,-83.085715,1,LM,,,,256.0494831
5,25,2021,5/25/2021,41.39211798,-83.11256283,0,UM,,,,663.6038658
5,25,2021,5/25/2021,41.39291445,-83.09996717,0,UM,,,,220.4247608
5,25,2021,5/25/2021,41.39228768,-83.0886534,0,UM,,,,490.9269284
5,25,2021,5/25/2021,41.3865809,-83.09101272,0,UM,,,,460.0339739
5,25,2021,5/25/2021,41.38698593,-83.08535143,1,UM,,,,341.6475087
5,25,2021,5/25/2021,41.38554129,-83.09518039,1,UM,,,,295.2384732
5,25,2021,5/25/2021,41.37260492,-83.09496892,1,FM,,,,472.0646779
5,25,2021,5/25/2021,41.3613505,-83.10082465,0,FM,,,,220.1847508
5,25,2021,5/25/2021,41.35908473,-83.10027468,0,FM,,,,405.6013842
5,25,2021,5/25/2021,41.43104771,-83.04433796,0,M,,,,135.4599216
