Province,Type,NWRFD,NWRSD,PlanningZone,Longitude,Latitude,Magnitude,ServedPeople,Quantity,As,Note1,F,Note4,Copper,Note7,City.num,Name.num
Jilin,stream,B,B050000,4,125.74,41.69,medium,NA,NA,0.007,<,0.05,<,0.001,<,271,1649
Jilin,reservoir,B,B050000,4,125.3551,41.4412,medium,4.5,355,0.007,<,0.05,<,0.001,<,271,1650
Jilin,reservoir,B,B050000,4,NA,NA,xlarge,NA,NA,0.007,<,0.05,<,0.001,<,271,3137
Jilin,stream,B,B050000,4,125.99,41.94,medium,NA,NA,0.007,<,0.05,<,0.001,<,271,1027
Jilin,stream,B,B050000,4,126.06,41.73,medium,1.89,110,0.007,<,0.05,<,0.001,<,271,1289
Jilin,stream,A,A030000,4,126.0227,42.3952,large,7.07,686.2,0.007,<,0.05,<,0.001,<,271,327
Jilin,reservoir,A,A030000,4,126.14,42.356,large,NA,NA,0.007,<,0.05,<,0.001,<,271,329
Jilin,stream,A,A030000,4,125.4324,42.1643,large,NA,190,0.007,<,0.05,<,0.001,<,271,3855
Jilin,reservoir,A,A030000,4,NA,NA,medium,NA,NA,0.007,<,0.05,<,0.001,<,271,438
Jilin,reservoir,A,A030000,4,NA,NA,medium,NA,NA,0.007,<,0.05,<,0.001,<,271,3820
Jilin,reservoir,A,A030000,4,125.3724,42.1251,large,9.22,547.5,0.007,<,0.22,,0.001,<,271,2733
Jilin,reservoir,B,B050000,4,126.2759,41.5121,xlarge,26.40609349,4027.2,0.007,<,0.05,<,0.001,<,15,2565
Jilin,stream,A,A030000,4,NA,NA,medium,NA,NA,0.007,<,0.05,<,0.001,<,15,3236
Jilin,reservoir,A,A030000,4,127.1557,42.2057,medium,4.3,420,0.007,<,0.3,,0.001,<,15,213
Jilin,reservoir,B,B050000,4,126.5141,41.78,large,7.1,460,0.007,<,0.05,<,0.001,<,15,1805
Jilin,stream,B,B050000,4,126.4249,42.0402,medium,4.27,360,0.007,<,0.05,<,0.001,<,15,521
Jilin,stream,B,B050000,4,128.19,41.41,medium,3.5,414,0.007,<,0.05,<,0.001,<,15,2887
Jilin,stream,A,A030000,4,124.4951,45.0949,large,9.5,620,0.007,<,0.29,,0.05,<,255,775
Jilin,stream,A,A040000,4,126.01,44.78,medium,NA,NA,0.008,,0.23,,0.001,<,255,2627
Jilin,stream,A,A030000,4,125.02,45.027,small,NA,NA,0.007,<,0.36,,0.001,<,255,1068
Jilin,stream,A,A030000,4,124.5056,45.051,small,0.5,NA,0.007,<,0.36,,0.001,<,255,2465
Jilin,stream,A,A020000,4,123.26,46.12,xlarge,NA,NA,0.007,<,0.35,,0.05,<,13,3885
Jilin,stream,A,A080000,4,129.49,42.9,small,NA,NA,0.007,<,0.05,<,0.001,<,321,132
Jilin,stream,A,A080000,4,129.3134,43.0533,small,0.21,NA,0.007,<,0.05,<,0.001,<,321,1748
Jilin,reservoir,A,A080000,4,128.5549,42.2933,large,5.8,780,0.007,<,0.05,<,0.001,<,321,2968
Jilin,stream,A,A080000,4,NA,NA,medium,NA,NA,0.007,<,0.05,<,0.001,<,321,1207
Jilin,reservoir,A,A080000,4,129.409,42.635,large,12.5,547.5,0.007,<,0.05,<,0.001,<,321,514
Jilin,stream,A,A080000,4,NA,NA,medium,NA,NA,0.007,<,0.179,,0.001,<,321,364
Jilin,reservoir,A,A080000,4,128.5157,43.053,large,7.57,730,0.007,<,0.158,,0.001,<,321,2161
Jilin,stream,A,A080000,4,128.91,43.1,medium,NA,NA,0.007,<,0.05,<,0.001,<,321,2162
Jilin,stream,A,A080000,4,130.388,42.85,large,9.68,771,0.007,<,0.05,<,0.001,<,321,348
Jilin,stream,A,A080000,4,NA,NA,medium,NA,NA,0.007,<,0.05,<,0.001,<,321,1695
Jilin,stream,A,A080000,4,NA,NA,medium,NA,NA,0.007,<,0.158,,0.001,<,321,1155
Jilin,stream,A,A080000,4,129.4703,43.1837,medium,2.9,210,0.007,<,0.161,,0.001,<,321,3244
Jilin,stream,A,A080000,4,NA,NA,medium,3.8,260,0.007,<,0.05,<,0.001,<,321,3245
Jilin,stream,A,A080000,4,129.5229,43.1733,medium,3.3,550,0.007,<,0.214,,0.001,<,321,2160
Jilin,reservoir,A,A080000,4,129.4915,43.0221,large,5.5,326,0.007,<,0.05,<,0.001,<,321,810
Jilin,stream,A,A080000,4,129.959,42.99,medium,NA,NA,0.007,<,0.187,,0.001,<,321,2812
Jilin,stream,A,A080000,4,NA,NA,medium,NA,NA,0.007,<,0.179,,0.001,<,321,268
Jilin,reservoir,A,A040000,4,128.0054,43.2221,large,10.8,946,0.007,<,0.167,,0.001,<,321,3588
Jilin,stream,A,A040000,4,128.1415,43.2123,medium,3.5,113,0.007,<,0.167,,0.001,<,321,732
Jilin,stream,A,A040000,4,NA,NA,medium,NA,NA,0.007,<,0.184,,0.001,<,321,493
Jilin,groundwater,A,A030000,4,125.4028,43.313,large,8.3,615,0.007,<,0.05,<,0.001,<,349,2897
Jilin,groundwater,A,A030000,4,NA,NA,small,NA,276,0.007,<,0.05,<,0.001,<,349,2442
Jilin,groundwater,A,A030000,4,125.4321,44.3202,large,9.37,894.7,0.007,<,0.05,<,0.001,<,349,558
Jilin,groundwater,A,A030000,4,125.4343,44.2906,large,5.76,730,0.007,<,0.43,,0.001,<,349,559
Jilin,groundwater,A,A030000,4,NA,NA,large,7.64,931,0.007,<,0.85,,0.001,<,349,2340
Jilin,groundwater,A,A040000,4,126.3221,44.4857,medium,4.5,646,0.007,<,0.05,<,0.001,<,349,3958
Jilin,groundwater,A,A040000,4,126.3244,44.4834,large,12,1107,0.007,<,0.05,<,0.001,<,349,3959
Jilin,groundwater,A,A030000,4,125.4935,44.0905,medium,3.5,192,0.007,<,0.05,<,0.001,<,349,1576
Jilin,groundwater,A,A030000,4,125.5345,44.1019,medium,3.9,174,0.007,<,0.99,,0.001,<,349,1575
Jilin,groundwater,A,A030000,4,126.3317,43.4614,medium,1.779042875,284,0.007,<,1.14,,0.01,<,128,1379
Jilin,groundwater,A,A030000,4,126.3629,43.5816,large,5.194805195,456,0.007,<,0.22,,0.01,<,128,1378
Jilin,groundwater,A,A030000,4,126.2209,45.5917,medium,1.97260274,226,0.007,<,0.32,,0.01,<,128,1485
Jilin,groundwater,A,A030000,4,126.2815,43.5636,medium,1.33,83,0.007,<,0.2,,0.01,<,128,1376
Jilin,groundwater,A,A040000,4,NA,NA,small,0.9,256,0.007,<,0.08,,0.01,<,128,330
Jilin,groundwater,A,A030000,4,126.4155,42.5659,medium,4.39,1594,0.007,<,0.19,,0.01,<,128,1335
Jilin,groundwater,A,A030000,4,126.0215,42.5648,medium,3.3,194.5,0.007,<,0.08,,0.01,<,128,2360
Jilin,groundwater,A,A030000,4,126.035,42.57,medium,2.6,146,0.007,<,0.08,,0.01,<,128,2361
Jilin,groundwater,A,A030000,4,NA,NA,medium,2,109.5,0.007,<,0.08,,0.01,<,128,2362
Jilin,groundwater,B,B030000,4,NA,NA,medium,3,1241,0.007,<,0.05,<,0.001,<,254,4287
Jilin,groundwater,B,B030000,4,NA,NA,large,8,3956.49,0.007,<,1.02,,0.001,<,254,2947
Jilin,groundwater,B,B030000,4,NA,NA,small,0.8,222.52,0.007,<,0.25,,0.001,<,254,1764
Jilin,groundwater,B,B010000,4,123.3001,43.3156,large,6.5,1700,0.007,<,0.45,,0.001,<,254,2880
Jilin,groundwater,B,B010000,4,NA,NA,medium,NA,NA,0.007,<,1.43,,0.001,<,254,3418
Jilin,groundwater,B,B010000,4,123.2727,43.3139,medium,1.6,166,0.007,<,0.49,,0.001,<,254,599
Jilin,groundwater,B,B010000,4,NA,NA,medium,3.6,706.68,0.007,<,0.9,,0.001,<,254,3117
Jilin,groundwater,B,B010000,4,NA,NA,small,0.73,75,0.007,<,1.41,,0.001,<,254,2879
Jilin,groundwater,B,B030000,4,124.2822,43.1607,large,6.9,360,0.007,<,0.17,,0.001,<,254,1726
Jilin,groundwater,B,B030000,4,124.2218,43.191,medium,1.6,36.5,0.007,<,0.39,,0.001,<,254,2784
Jilin,groundwater,B,B030000,4,NA,NA,medium,2.7,531.05,0.007,<,0.23,,0.001,<,254,1727
Jilin,groundwater,B,B020000,4,NA,NA,medium,NA,NA,0.007,<,0.56,,0.0272,,254,961
Jilin,groundwater,B,B020000,4,124.4753,43.294,medium,4.73,164,0.007,<,0.22,,0.001,<,254,959
Jilin,groundwater,B,B020000,4,NA,NA,large,6.77,1685,0.007,<,0.19,,0.001,<,254,962
Jilin,groundwater,B,B020000,4,124.4916,43.3138,small,0.6,180,0.007,<,0.35,,0.001,<,254,960
Jilin,groundwater,A,A030000,4,125.1732,43.2102,medium,4.6,150,0.007,<,1.31,,0.001,<,254,3854
Jilin,groundwater,A,A030000,4,NA,NA,medium,3.6,679,0.007,<,0.64,,0.001,<,254,3853
Jilin,groundwater,B,B030000,4,124.67,43.41,medium,NA,NA,0.007,<,0.05,<,0.001,<,254,279
Jilin,groundwater,A,A030000,4,125.3352,42.4033,medium,3.6,99.86,0.011,,0.47,,0.001,<,168,2297
Jilin,groundwater,B,B020000,4,125.02,42.94,small,0.58,363,0.007,<,0.05,<,0.001,<,168,121
Jilin,groundwater,B,B020000,4,124.87,42.97,small,NA,NA,0.007,<,0.05,<,0.001,<,168,123
Jilin,groundwater,B,B020000,4,124.9,42.89,small,NA,NA,0.007,<,0.24,,0.001,<,168,122
Jilin,groundwater,B,B050000,4,126.0402,41.4744,medium,1.17,109.5,0.007,<,0.05,<,0.001,<,271,3808
Jilin,groundwater,A,A030000,4,125.4104,42.3141,xlarge,23,1570,0.007,<,0.66,,0.001,<,271,185
Jilin,groundwater,A,A030000,4,NA,NA,medium,2.3,1070,0.007,<,0.22,,0.001,<,271,941
Jilin,groundwater,A,A030000,4,125.67,42.51,medium,NA,NA,0.007,<,1.14,,0.001,<,271,858
Jilin,groundwater,A,A030000,4,125.689,42.53,medium,NA,NA,0.007,<,0.45,,0.001,<,271,653
Jilin,groundwater,A,A030000,4,126.4458,42.2059,large,5.5,416.1,0.007,<,0.05,<,0.001,<,15,2507
Jilin,groundwater,A,A030000,4,126.714722,42.318056,medium,1.4,237,0.007,<,0.05,<,0.001,<,15,1587
Jilin,groundwater,A,A030000,4,127.27,42.33,small,0.9,50,0.007,<,0.05,<,0.001,<,15,3223
Jilin,groundwater,B,B050000,4,126.81,41.95,medium,2.45,649,0.007,<,0.05,<,0.001,<,15,1698
Jilin,groundwater,B,B050000,4,126.2157,42.0036,medium,1.071368948,372.08,0.007,<,0.05,<,0.001,<,15,4171
Jilin,groundwater,B,B050000,4,126.2615,41.5742,small,0.89490818,235.24,0.007,<,0.05,<,0.001,<,15,1643
Jilin,groundwater,B,B050000,4,126.2314,41.5905,medium,1.008347245,120.9,0.007,<,0.05,<,0.001,<,15,1523
Jilin,groundwater,A,A030000,4,124.4641,45.1651,large,6.5,680.5236364,0.007,<,0.4,,0.001,<,255,2326
Jilin,groundwater,A,A030000,4,124.4431,44.5535,large,11.4,881.3090909,0.008,,0.48,,0.001,<,255,1895
Jilin,groundwater,A,A030000,4,124.3929,45.1609,large,7.5,1086.167273,0.007,<,0.32,,0.001,<,255,757
Jilin,groundwater,A,A040000,4,126.0057,44.5834,large,7,290,0.007,<,0.47,,0.001,<,255,2628
Jilin,groundwater,A,A020000,4,123.5849,44.1623,large,5.3,540,0.007,<,1.62,,0.001,<,255,4126
Jilin,groundwater,A,A020000,4,124.0036,45.0027,large,7.8,539.5,0.007,<,0.48,,0.001,<,255,2463
Jilin,groundwater,A,A020000,4,123.0519,44.483,medium,3.8,274,0.007,<,1.12,,0.001,<,13,3155
Jilin,groundwater,A,A020000,4,123.0429,44.4752,medium,1.7,139,0.007,<,0.96,,0.001,<,13,3154
Jilin,groundwater,A,A020000,4,122.4614,45.2109,large,12.2,1137.1,0.007,<,1.23,,0.001,<,13,3061
Jilin,groundwater,A,A020000,4,NA,NA,medium,3.7,985.4,0.007,<,1.06,,0.001,<,13,3062
Jilin,groundwater,A,A020000,4,123.1119,45.5103,medium,4.4,448,0.007,<,0.83,,0.001,<,13,4174
Jilin,groundwater,A,A020000,4,123.0833,45.5145,medium,2,110,0.007,<,0.84,,0.001,<,13,4173
Jilin,groundwater,A,A020000,4,124.1624,45.3046,large,12.4,1010.8,0.007,<,0.74,,0.001,<,13,434
Jilin,groundwater,A,A020000,4,122.4533,45.3734,xlarge,23.1,1195,0.007,<,0.56,,0.001,<,13,107
Jilin,groundwater,A,A020000,4,122.5305,45.3738,large,9.8,382,0.007,<,0.39,,0.001,<,13,3119
Jilin,groundwater,A,A080000,4,NA,NA,medium,1.09,1231,0.007,<,0.05,<,0.001,<,321,1024
Jilin,groundwater,A,A080000,4,130.368,42.86,medium,1,120,0.007,<,0.05,<,0.001,<,321,1652
Jilin,groundwater,A,A040000,4,129.5,42.9,medium,NA,146,0.007,<,0.342,,0.001,<,321,731
Heilongjiang,stream,A,A040000,4,126.5,45.77,xlarge,24.7,2920,0.002,,0.22,,0.05,<,90,1071
Heilongjiang,stream,A,A040000,4,126.54,45.76,xlarge,165.295,23725,0.02,,0.3,,0.05,<,90,1070
Heilongjiang,stream,A,A020000,4,123.9,47.4,large,12,1825,NA,,NA,,NA,,215,1848
Heilongjiang,reservoir,A,A060000,4,130.88,45.4,xlarge,25.6,2600,0.023,,0.24,,0.05,<,126,1365
Heilongjiang,reservoir,A,A060000,4,131.18,45.43,large,12.5,1800,0.004,,0.27,,0.05,<,126,1069
Heilongjiang,reservoir,A,A060000,4,130.88,45.15,large,6,153,NA,,NA,,NA,,126,1364
Heilongjiang,reservoir,A,A040000,4,130.14,47.34,xlarge,20.5,1643,0.023,,0.24,,0.05,<,106,3345
Heilongjiang,reservoir,A,A040000,4,130.21,47.34,large,10.7,954,0.022,,0.2,,0.05,<,106,3576
Heilongjiang,reservoir,A,A040000,4,130.47,47.53,xlarge,22.4,1892,0.022,,0.34,,0.028,,106,3465
Heilongjiang,reservoir,A,A040000,4,131.12,46.56,large,8,150,0.018,,0.1,,0.05,<,252,612
Heilongjiang,reservoir,A,A020000,4,125.14,46.78,xlarge,24.2,5395,0.006,,0.65,,0.026,,53,487
Heilongjiang,reservoir,A,A020000,4,125.3,43.61,large,12.7,6863,0.018,,0.8,,0.029,,53,485
Heilongjiang,reservoir,A,A020000,4,124.43,46.74,xlarge,25,9417,0.009,,1.2,,0.016,,53,1888
Heilongjiang,reservoir,A,A020000,4,124.19,46.58,medium,3,160,0.008,,0.85,,0.05,<,53,643
Heilongjiang,reservoir,A,A020000,4,124.21,46.62,medium,3.5,174,0.02,,1.1,,0.05,<,53,211
Heilongjiang,reservoir,A,A040000,4,130.13,48.8,medium,1.2,80,0.021,,0.06,,0.05,<,326,3044
Heilongjiang,stream,A,A040000,4,129.44,47.41,medium,2.07,NA,0.004,,0.1,,NA,,326,1514
Heilongjiang,reservoir,A,A040000,4,129.33,47.18,large,5.26,320,0.004,,NA,,NA,,326,2206
Heilongjiang,reservoir,A,A040000,4,131,45.75,xlarge,30,3000,0.008,,0.25,,0.01,,213,3065
Heilongjiang,stream,A,A040000,4,129.57,44.53,xlarge,36.4,7893,0.004,,NA,,0.05,<,192,3440
Heilongjiang,stream,A,A040000,4,129.84,44.45,large,5,154,0.002,,NA,,0.05,<,192,679
Heilongjiang,stream,A,A040000,4,129.68,44.58,medium,2.5,985,0.004,,NA,,0.05,<,192,3123
Heilongjiang,reservoir,A,A040000,4,126.93,45.51,medium,3.745,180,0.004,,0.35,,0.05,<,90,250
Heilongjiang,reservoir,A,A040000,4,128.03,45.33,medium,3.1,260,0.007,,0.2,,0.05,<,90,3757
Heilongjiang,reservoir,A,A040000,4,131.16,44.37,medium,1.3,219,0.004,,NA,,0.05,<,192,3092
Heilongjiang,reservoir,A,A040000,4,131.07,44.42,medium,1.3,160,0.004,,NA,,0.05,<,192,1500
Heilongjiang,stream,A,A040000,4,131.04,44.37,medium,1.31,60,0.004,,NA,,0.05,<,192,3923
Heilongjiang,stream,A,A040000,4,129.39,44.39,large,5.9,182.5,0.004,,NA,,0.05,<,192,1086
Heilongjiang,stream,A,A040000,4,129.37,44.56,large,7.3,438,0.004,,NA,,0.05,<,192,1085
Heilongjiang,stream,A,A040000,4,129.42,44.33,medium,4,438,0.01,,NA,,0.05,<,192,2323
Heilongjiang,stream,A,A060000,4,130.52,44.9,medium,3,438,0.004,,NA,,0.05,<,192,2187
Heilongjiang,stream,A,A070000,4,131.12,44.07,medium,3.9,474.5,0.002,,NA,,0.05,<,192,662
Heilongjiang,reservoir,A,A040000,4,130.05,45.17,large,5,300,0.004,,NA,,0.05,<,192,3582
Heilongjiang,stream,A,A050000,4,127.52,50.248,large,6.44,474.5,0.002,,NA,,0.05,<,108,1169
Heilongjiang,stream,A,A020000,4,126.52,48.26,medium,4.5,400,0.02,,NA,,0.05,<,108,2305
Heilongjiang,stream,A,A050000,4,127.32,49.44,medium,2.14,80,NA,,0.2,,0.05,<,108,2999
Heilongjiang,stream,A,A040000,4,126.3332977,46.2666702,medium,3.04,126,0.006,,NA,,NA,,258,1673
Heilongjiang,reservoir,A,A020000,4,125.99,46.08,large,9,850,0.006,,0.59,,0.05,<,258,4155
Heilongjiang,reservoir,A,A040000,4,127.15,47.6,large,5.9,240,0.004,,0.15,,0.05,<,258,627
Heilongjiang,stream,A,A050000,4,124.68,52.33,medium,3,110,0.004,,0.1,,NA,,55,3006
Heilongjiang,reservoir,A,A060000,4,132.97,46.6,medium,1.6235,71,NA,,NA,,NA,,112,3585
Heilongjiang,groundwater,A,A040000,4,126.73,45.75,xlarge,41.6,706,NA,,NA,,0.001,,90,2750
Heilongjiang,groundwater,A,A040000,4,126.6,45.98,medium,4,120,NA,,0.1,,NA,,90,1242
Heilongjiang,groundwater,A,A040000,4,126.8,45.96,large,6,260,NA,,0.32,,0.015,,90,1241
Heilongjiang,groundwater,A,A040000,4,126.4,45.95,medium,2,250,NA,,0.1,,NA,,90,1755
Heilongjiang,groundwater,A,A020000,4,123.95,47.5,large,15.8,1460,0.009,,0.11,,0.012,,215,1906
Heilongjiang,groundwater,A,A020000,4,123.95,47.6,large,15.8,1095,0.004,,0.02,<,0.013,,215,1448
Heilongjiang,groundwater,A,A020000,4,123.96,47.4,large,11.8,1095,0.004,,0.02,<,0.012,,215,3108
Heilongjiang,groundwater,A,A020000,4,124.02,47.35,large,11.6,730,0.004,,0.02,<,0.045,,215,3107
Heilongjiang,groundwater,A,A020000,4,123.92,47.35,large,12.8,730,0.004,,0.4,,0.016,,215,3130
Heilongjiang,groundwater,A,A020000,4,124,47.35,large,15,3545,NA,,NA,,NA,,215,1765
Heilongjiang,groundwater,A,A020000,4,NA,NA,large,15.99,NA,NA,,NA,,NA,,215,2444
Heilongjiang,groundwater,A,A060000,4,130.93,45.34,large,18.7,360,0.004,,0.3,,0.01,,126,2856
Heilongjiang,groundwater,A,A060000,4,130.68,45.34,large,6.56,700,0.004,,0.3,,0.01,,126,2510
Heilongjiang,groundwater,A,A060000,4,130.91,45.35,medium,2.31,180,0.004,,1.12,,0.02,,126,1362
Heilongjiang,groundwater,A,A060000,4,130.76,45.47,medium,2.33,NA,0.004,,0.38,,0.023,,126,1363
Heilongjiang,groundwater,A,A040000,4,NA,NA,medium,NA,NA,NA,,NA,,NA,,106,1158
Heilongjiang,groundwater,A,A040000,4,131.16,46.64,xlarge,30,1277.5,0.004,,0.4,,0.01,,252,2892
Heilongjiang,groundwater,A,A040000,4,NA,NA,large,6.5,NA,NA,,NA,,NA,,252,2893
Heilongjiang,groundwater,A,A020000,4,124.88,46.72,medium,1.3,1095,0.007,,1.017,,NA,,53,1223
Heilongjiang,groundwater,A,A020000,4,124.76,46.66,medium,3.5,350,NA,,0.908,,NA,,53,2580
Heilongjiang,groundwater,A,A020000,4,124.83,46.61,medium,4.2,1642.5,0.0017,,1.665,,NA,,53,2468
Heilongjiang,groundwater,A,A020000,4,124.79,46.56,medium,4.5,1460,0.0178,,0.751,,NA,,53,486
Heilongjiang,groundwater,A,A020000,4,124.76,46.47,medium,3.5,2190,0.004,,0.6,,NA,,53,2223
Heilongjiang,groundwater,A,A020000,4,124.74,46.39,medium,3.3,2190,0.004,,0.61,,NA,,53,3692
Heilongjiang,groundwater,A,A020000,4,124.7,46.3,medium,1.9,859,0.004,,1.8,,0.05,<,53,1819
Heilongjiang,groundwater,A,A020000,4,124.77,46.2,large,7.5,2007,0.004,,0.28,,NA,,53,3683
Heilongjiang,groundwater,A,A020000,4,124.62,46.13,medium,1.5,3120.5,0.004,,1.8,,0.05,<,53,3623
Heilongjiang,groundwater,A,A040000,4,129.43,48.58,medium,1.5,12,0.004,,0.17,,0.05,<,326,3325
Heilongjiang,groundwater,A,A040000,4,129.42,48.59,medium,3.6,20,0.004,,0.1,,0.05,<,326,3324
Heilongjiang,groundwater,A,A040000,4,129.44,48.58,medium,1.8,184,0.004,,0.11,,0.05,<,326,3323
Heilongjiang,groundwater,A,A040000,4,129.53,48.29,medium,1.2,56.94,0.004,,0.1,,0.05,<,326,3642
Heilongjiang,groundwater,A,A040000,4,129.36,48.42,medium,1.52,24.47,0.004,,0.04,,0.05,<,326,1226
Heilongjiang,groundwater,A,A040000,4,129.3,48.17,medium,1.47,19.5,0.004,,0.1,,0.05,<,326,3371
Heilongjiang,groundwater,A,A040000,4,128.83,47.97,medium,1.96,140,0.004,,0.1,,0.05,<,326,3937
Heilongjiang,groundwater,A,A040000,4,129.01,47.96,small,0.74,65,0.004,,0.1,,0.05,<,326,3936
Heilongjiang,groundwater,A,A040000,4,128.88,47.72,medium,4.2,200,0.004,,0.1,,0.05,<,326,3832
Heilongjiang,groundwater,A,A040000,4,128.91,47.76,medium,4.91,345,0.004,,0.1,,0.05,<,326,3831
Heilongjiang,groundwater,A,A040000,4,128.76,47.72,small,0.11,36.5,0.004,,0.1,,0.05,<,326,3314
Heilongjiang,groundwater,A,A040000,4,128.63,47.73,medium,1.8,56,0.004,,0.1,,0.05,<,326,422
Heilongjiang,groundwater,A,A040000,4,129.11,47.63,medium,3.5,182.5,0.004,,0.1,,0.05,<,326,2096
Heilongjiang,groundwater,A,A040000,4,129.21,47.48,medium,3.8,118.8,0.004,,0.1,,0.05,<,326,3419
Heilongjiang,groundwater,A,A040000,4,128.83,47,medium,1,176,NA,,NA,,NA,,326,533
Heilongjiang,groundwater,A,A040000,4,128.89,48,small,0.79,36.5,NA,,NA,,NA,,326,2708
Heilongjiang,groundwater,A,A040000,4,130.3933005,46.852777,large,6.5,328.2,0.05,,0.2,,0.008,,132,1425
Heilongjiang,groundwater,A,A040000,4,130.284722,46.788888,medium,3.36,270.2,0.004,,0.2,,0.003,,132,1424
Heilongjiang,groundwater,A,A040000,4,130.29722,46.809722,medium,2.4,74.1,0.036,,0.1,,0.006,,132,1422
Heilongjiang,groundwater,A,A040000,4,130.2389069,46.788898,xlarge,33.495,3786.7,0.012,,0.3,,NA,,132,1423
Heilongjiang,groundwater,A,A040000,4,NA,NA,large,11.1,NA,NA,,NA,,NA,,132,1426
Heilongjiang,groundwater,A,A040000,4,126.99,46.63,large,5,640,0.004,,NA,,NA,,258,2987
Heilongjiang,groundwater,A,A040000,4,127,46.63,medium,4,345,0.004,,NA,,NA,,258,2986
Heilongjiang,groundwater,A,A040000,4,126.95,46.63,medium,3.22,245,0.004,,NA,,NA,,258,266
Heilongjiang,groundwater,A,A040000,4,126.95,46.5,large,7,291,0.004,,NA,,NA,,258,3121
Heilongjiang,groundwater,A,A040000,4,126.9,46.5,large,6.2795,727,0.004,,NA,,NA,,258,2445
Heilongjiang,groundwater,A,A040000,4,130.59,45.75,large,8.4,1570,0.004,,NA,,NA,,213,2434
Heilongjiang,groundwater,A,A040000,4,NA,NA,medium,NA,NA,NA,,NA,,NA,,213,2435
Heilongjiang,groundwater,A,A040000,4,NA,NA,large,18,8030,NA,,NA,,NA,,192,2178
Heilongjiang,groundwater,A,A050000,4,NA,NA,medium,2.76,91.5,NA,,NA,,NA,,108,1168
Heilongjiang,groundwater,A,A020000,4,124.12,50.58,large,5.6,360,NA,,0.02,<,0.087,,55,1395
Heilongjiang,groundwater,A,A020000,4,124.19,50.46,medium,1,300,NA,,0.02,<,0.087,,55,3124
Heilongjiang,groundwater,A,A020000,4,124.23,50.52,medium,1,20,NA,,0.02,<,0.087,,55,600
Heilongjiang,groundwater,A,A040000,4,131.55,46.7,small,0.8455,92.20739497,NA,,NA,,NA,,112,1228
Heilongjiang,groundwater,A,A040000,4,132.61,47.24,medium,3.35,137.7958216,NA,,NA,,NA,,135,1451
Heilongjiang,groundwater,A,A040000,4,132.55,47.2,medium,1.1,45.24638919,NA,,NA,,NA,,135,1452
Heilongjiang,groundwater,A,A020000,4,125.25,48.87,medium,1.432,79.60662768,NA,,NA,,NA,,149,1355
Heilongjiang,groundwater,A,A020000,4,125.25,48.52,medium,1.2,66.70946454,NA,,NA,,NA,,149,1356
Heilongjiang,groundwater,A,A040000,4,131.9,45.63,medium,NA,NA,NA,,NA,,NA,,191,2177
Heilongjiang,groundwater,A,A020000,4,126.51,48.25,medium,NA,NA,NA,,NA,,NA,,25,194
Heilongjiang,groundwater,A,A040000,4,127.12,44.89,large,12.5,365,0.004,,NA,,NA,,90,3339
Heilongjiang,groundwater,A,A040000,4,126.37,45.32,large,17.9295,1148,NA,,NA,,NA,,90,2875
Heilongjiang,groundwater,A,A040000,4,127.97,45.22,large,5.68,285,NA,,NA,,NA,,90,2054
Heilongjiang,groundwater,A,A040000,4,127.5,45.28,large,5.68,285,NA,,NA,,NA,,90,1784
Heilongjiang,groundwater,A,A040000,4,126.97,45.53,medium,2.7,100,0.004,,0.4,,NA,,90,8
Heilongjiang,groundwater,A,A040000,4,126.96,45.52,large,11.9,950,0.004,,0.4,,NA,,90,7
Heilongjiang,groundwater,A,A040000,4,126.93,45.55,medium,2.4,420,0.004,,0.3,,NA,,90,1879
Heilongjiang,groundwater,A,A040000,4,127,45.55,medium,2.8,130,0.004,,0.16,,0.05,<,90,1388
Heilongjiang,groundwater,A,A040000,4,126.96,45.55,small,0.6,20,0.004,,0.1,,NA,,90,3888
Heilongjiang,groundwater,A,A040000,4,126.96,45.55,small,0.8,19,0.008,,0.3,,0.05,<,90,2768
Heilongjiang,groundwater,A,A020000,4,125.99,47.48,large,8.4,220,0.004,,0.35,,0.004,,215,2306
Heilongjiang,groundwater,A,A060000,4,131.88,45.53,medium,3,146,NA,,0.4,,0.5,,126,2123
Heilongjiang,groundwater,A,A060000,4,131.86,45.52,medium,3.92,146,NA,,0.4,,0.5,,126,2124
Heilongjiang,groundwater,A,A060000,4,131.82,45.66,medium,4,163,NA,,0.4,,0.5,,126,2125
Heilongjiang,groundwater,A,A060000,4,132.76,45.69,large,5.98,286,0.004,,0.56,,NA,,126,1255
Heilongjiang,groundwater,A,A040000,4,128.85,46.95,medium,1.5,70,NA,,NA,,NA,,326,1687
Heilongjiang,groundwater,A,A040000,4,128.17,46.92,medium,1,42,0.004,,0.1,,0.05,<,326,3064
Heilongjiang,groundwater,A,A040000,4,128.07,46.97,small,0.5,20.075,0.004,,NA,,0.05,<,326,1232
Heilongjiang,groundwater,A,A040000,4,128.03,46.97,medium,3.23,736.57,NA,,0.08,,0.15,,326,3114
Heilongjiang,groundwater,A,A040000,4,127.75,46.96,medium,1.8,80,0.004,,NA,,0.05,<,326,2876
Heilongjiang,groundwater,A,A040000,4,132.04,47.25,medium,4,146,0.004,,0.2,,NA,,132,2855
Heilongjiang,groundwater,A,A040000,4,132,47.25,medium,3.7,219,0.004,,0.2,,NA,,132,2843
Heilongjiang,groundwater,A,A040000,4,132,47.24,small,0.3,40,0.004,,0.45,,0.002,,132,866
