Province,Type,NWRFD,NWRSD,PlanningZone,Longitude,Latitude,Magnitude,ServedPeople,Quantity,As,Note1,F,Note4,Copper,Note7,City.num,Name.num
Hebei,groundwater,C,C030000,1,114.58,38.42,medium,4.7,500,NA,,NA,,NA,,249,1940
Hebei,groundwater,C,C030000,1,114.37,38.3,large,5.5,0.5,0.01,,0.32,,0.02,,249,1829
Hebei,groundwater,C,C030000,1,114.6,37.53,medium,3.1,173,NA,,NA,,NA,,249,929
Hebei,groundwater,C,C030000,1,114.2,38.2,medium,4.39,295,0.004,,0.59,,0.011,,249,602
Hebei,groundwater,C,C030000,1,114.88,37.66,medium,1.319765375,22.5,0.03,,0.3,,0.02,,249,1263
Hebei,groundwater,C,C030000,1,114.62,37.66,small,0.5941877,10.13,0.03,,0.2,,0.02,,249,3491
Hebei,groundwater,C,C030000,1,114.67,37.63,medium,1.386046925,23.63,0.03,,0.2,,0.05,,249,814
Hebei,groundwater,C,C030000,1,114.97,38.17,medium,4.94,1452,NA,,NA,,NA,,249,3326
Hebei,groundwater,C,C030000,1,114.23,38.23,medium,3.7,161.2,0.01,,0.08,,0.02,,249,2481
Hebei,groundwater,C,C030000,1,114.2,38.21,medium,1.2,71,NA,,0.26,,0.02,,249,3262
Hebei,groundwater,C,C030000,1,114.26,38.18,medium,2.1,129.9,NA,,0.27,,0.02,,249,2761
Hebei,groundwater,C,C030000,1,114.51,37.75,medium,NA,NA,NA,,0.56,,NA,,249,3990
Hebei,groundwater,C,C030000,1,114.51,37.75,large,7,1276,NA,,0.61,,NA,,249,3991
Hebei,groundwater,C,C030000,1,114.8,37.8,medium,4.7,981.7,0.004,,0.5,,0.063,,249,4162
Hebei,groundwater,C,C030000,1,115.2,37.88,large,13.58,962.09,NA,,NA,,0.01,<,249,3629
Hebei,groundwater,C,C030000,1,114.83,38.05,large,11.66,542,0.004,,0.66,,0.1,,249,931
Hebei,groundwater,C,C030000,1,115,38,large,7.5,1411.5,0.01,,NA,,0.02,,249,1539
Hebei,groundwater,C,C030000,1,114.68,38.35,medium,4.12,180,0.004,,0.39,,0.011,,249,3632
Hebei,groundwater,C,C030000,1,114,38,medium,4.5,569,0.01,,0.55,,0.2,,249,1966
Hebei,groundwater,C,C010000,1,118.02,39.63,xlarge,51.17,5620,0.004,,0.3,,0.05,<,266,3053
Hebei,groundwater,C,C020000,1,118.1,39.6,large,5.42,700,NA,,NA,,NA,,266,806
Hebei,groundwater,C,C020000,1,118.13,39.8,large,19.34,290,NA,,0.1,,0.05,<,266,807
Hebei,groundwater,C,C010000,1,118.7,39.75,medium,4.94,270,NA,,NA,,NA,,266,1981
Hebei,groundwater,C,C010000,1,118.67,39.5,medium,4.52,2259.24,0.004,,0.39,,0.01,<,266,1980
Hebei,groundwater,C,C010000,1,118.9,39.43,large,5.26,592.3,NA,,NA,,NA,,266,1711
Hebei,groundwater,C,C010000,1,118.3,40.15,medium,4.13,569.3,0.004,,1,,0.05,<,266,2461
Hebei,groundwater,C,C020000,1,117.9,39.9,large,10.28,560,0.004,,0.53,,0.003,,266,3494
Hebei,groundwater,C,C010000,1,118.55,39.3,medium,3.19,309.24,0.01,,0.15,,0.01,,266,974
Hebei,groundwater,C,C020000,1,117.97,40.2,large,8.07,292,0.004,,1,,0.05,<,266,4297
Hebei,groundwater,C,C010000,1,118.7,40.02,large,9.49,650,0.004,,1,,0.05,<,266,2459
Hebei,groundwater,C,C010000,1,118.961,40.4,large,5.6,300,NA,,0.13,,NA,,221,2511
Hebei,groundwater,C,C010000,1,119.16,39.72,large,9.931327796,256,NA,,NA,,NA,,221,1237
Hebei,groundwater,C,C010000,1,119.16,39.68,small,0.737090735,19,NA,,0.6,,NA,,221,1617
Hebei,groundwater,C,C010000,1,119.14,39.72,medium,1.47418147,38,NA,,0.8,,0.2,,221,313
Hebei,groundwater,C,C010000,1,119.2,40.1,medium,2.8,55,NA,,0.22,,NA,,221,861
Hebei,groundwater,C,C010000,1,118.83,39.88,medium,3.22,184.3,0.01,,0.03,,0.006,,221,370
Hebei,groundwater,C,C010000,1,118.8,39.85,large,NA,NA,0.01,,0.1,,0.001,<,221,371
Hebei,groundwater,C,C030000,1,114.4,36.33,xlarge,101.68,4017,0.002,,0.3,,0.04,,97,3784
Hebei,groundwater,C,C030000,1,114.17,36.52,xlarge,30.98,520,0.002,,0.2,,0.02,,97,547
Hebei,groundwater,C,C030000,1,114.25,36.47,xlarge,30.98,590,0.002,,0.3,,0.02,,97,756
Hebei,groundwater,C,C030000,1,114.35,36.12,large,5.1,80,0.01,,NA,,NA,,97,1821
Hebei,groundwater,C,C030000,1,114.68,36.43,medium,3.78,36,0.01,,0.3,,0.004,,97,592
Hebei,groundwater,C,C030000,1,115.13,36.27,medium,4.58,258,0.01,,0.6,,0.038,,97,475
Hebei,groundwater,C,C030000,1,113.68,36.57,large,5.8235,334,0.002,,0.14,,0.016,,97,204
Hebei,groundwater,C,C030000,1,114.4,36.2,large,5,240,0.01,,0.2,,0.089,,97,420
Hebei,groundwater,C,C030000,1,114.8,36.38,large,5.8,96,0.01,,0.8,,0.048,,97,794
Hebei,groundwater,C,C030000,1,114.48,36.75,large,6.2,95,0.01,,0.3,,0.01,,97,3105
Hebei,groundwater,C,C030000,1,115.17,36.8,medium,3.76,71,0.01,,0.62,,0.057,,97,2555
Hebei,groundwater,C,C030000,1,114.87,36.92,medium,2.6,150,0.01,,0.3,,0.06,,97,1366
Hebei,groundwater,C,C030000,1,114.92,36.47,medium,4,92,0.01,,0.1,,0.02,,97,1032
Hebei,groundwater,C,C030000,1,115.28,36.53,medium,3.65,110,0.01,,0.45,,0.024,,97,1023
Hebei,groundwater,C,C030000,1,114.92,36.37,large,8.59,119,0.01,,0.25,,0.033,,97,3278
Hebei,groundwater,C,C030000,1,114.92,36.77,medium,4.62,307,0.01,,0.45,,0.048,,97,2572
Hebei,groundwater,C,C030000,1,114.18,36.7,large,15.01,260,0.002,,0.3,,0.02,,97,2230
Hebei,groundwater,C,C030000,1,114.43,37.03,xlarge,28.85142857,1314,0.01,,0.24,,0.02,,311,708
Hebei,groundwater,C,C030000,1,114.45,37.05,large,8.815714286,401.5,0.01,,0.24,,0.02,,311,1104
Hebei,groundwater,C,C030000,1,114.47,37.8,large,18.43285714,839.5,0.01,,0.28,,0.02,,311,4262
Hebei,groundwater,C,C030000,1,114.93,37.52,small,0.44,138.94,0.004,,0.32,,0.0025,,311,439
Hebei,groundwater,C,C030000,1,114.5,37.48,medium,3.5,199,0.004,,0.3,,0.05,<,311,2744
Hebei,groundwater,C,C030000,1,114.52,37.3,large,6.6,557,0.004,,0.5,,0.04,,311,2309
Hebei,groundwater,C,C030000,1,114.67,37.5,medium,4.49,220,0.01,,0.6,,0.02,,311,154
Hebei,groundwater,C,C030000,1,114.75,37.35,large,6.3,674,0.017,,1.01,,0.05,<,311,1936
Hebei,groundwater,C,C030000,1,114.67,37.12,medium,4,217,0.004,,0.57,,NA,,311,2589
Hebei,groundwater,C,C030000,1,114.68,37.03,medium,4.7,616.5,0.01,,NA,,NA,,311,2238
Hebei,groundwater,C,C030000,1,114.92,37.57,large,12,803,0.03,,0.76,,0.02,,311,2329
Hebei,groundwater,C,C030000,1,114.57,37.22,large,7,195.2,NA,,1,,1,,311,1588
Hebei,groundwater,C,C030000,1,115.22,37.53,medium,4.04,226,0.01,,0.47,,0.02,,311,3620
Hebei,groundwater,C,C030000,1,115.1,37.15,medium,2.5,162,0.004,,0.77,,0.0025,,311,1040
Hebei,groundwater,C,C030000,1,115.02,37.05,large,5.1,183,NA,,NA,,NA,,311,2399
Hebei,groundwater,C,C030000,1,115.27,36.97,large,6.7,281,NA,,0.76,,0.47,,311,3268
Hebei,groundwater,C,C030000,1,115.65,37.07,medium,4.8,1696,NA,,3,,NA,,311,2499
Hebei,groundwater,C,C030000,1,115.5,36.85,large,5,354,0.03,,1.9,,0.5,,311,3159
Hebei,groundwater,C,C030000,1,115.25,37.1,large,9.2,743,NA,,NA,,NA,,311,2228
Hebei,groundwater,C,C030000,1,114.42,36.82,large,9.85,924,0.01,,0.6,,0.0075,,311,2674
Hebei,groundwater,C,C030000,1,115.02,38.85,medium,1.17,114,NA,,0.05,<,0.05,<,20,175
Hebei,groundwater,C,C030000,1,115.02,38.85,xlarge,21.73,2114.92,0.004,,0.14,,0.05,<,20,174
Hebei,groundwater,C,C030000,1,114.93,38.12,medium,4.5,405,0.004,,0.44,,NA,,20,2064
Hebei,groundwater,C,C030000,1,115.48,38.78,medium,3.97,133.63,NA,,0.6,,0.05,<,20,2535
Hebei,groundwater,C,C030000,1,115.42,39.24,large,5.4,424.52,0.004,,0.27,,0.05,<,20,1667
Hebei,groundwater,C,C030000,1,114.2,38.85,medium,2.8,119,0.004,,0.29,,NA,,20,868
Hebei,groundwater,C,C030000,1,115.7,38.93,large,9.69,350.3,0.004,,0.36,,NA,,20,3714
Hebei,groundwater,C,C030000,1,115.48,39.12,large,5.53,404.36,0.004,,0.26,,0.05,<,20,3493
Hebei,groundwater,C,C030000,1,114.62,38.96,large,5,202.5,0.004,,0.05,<,0.04,,20,3055
Hebei,groundwater,C,C030000,1,115.42,38.69,large,11,715,0.004,,0.11,,NA,,20,928
Hebei,groundwater,C,C030000,1,115.98,39.08,medium,3.66,147.67,0.004,,3.83,,0.05,<,20,2596
Hebei,groundwater,C,C030000,1,114.68,39.33,small,0.5,16.7,0.004,,0.26,,0.05,<,20,1669
Hebei,groundwater,C,C030000,1,114.68,39.33,medium,1.6,50.13,0.004,,0.26,,NA,,20,1668
Hebei,groundwater,C,C030000,1,115.17,38.68,medium,3.47,491,0.004,,0.38,,0.05,<,20,3265
Hebei,groundwater,C,C030000,1,115.63,38.72,large,5.56,299.09,0.004,,0.4,,0.05,<,20,50
Hebei,groundwater,C,C030000,1,115.22,39.33,large,6.48,602.25,NA,,0.28,,0.05,<,20,3876
Hebei,groundwater,C,C030000,1,114.67,38.62,large,5.2,421,0.004,,0.19,,0.05,<,20,2571
Hebei,groundwater,C,C030000,1,115.73,38.52,large,7.84,175,0.004,,0.45,,0.05,<,20,1733
Hebei,groundwater,C,C030000,1,115.23,38.78,medium,3.5,51.7,0.004,,0.26,,0.05,<,20,2930
Hebei,groundwater,C,C030000,1,115.48,38.26,medium,1.85,135.95,0.01,,0.41,,NA,,20,264
Hebei,groundwater,C,C030000,1,115.7,39.07,medium,1.8,67.34,0.004,,0.5,,0.05,<,20,1384
Hebei,groundwater,C,C030000,1,115.7,39.07,medium,4,149.66,0.004,,1,,0.05,<,20,3699
Hebei,groundwater,C,C030000,1,115.97,39.5,large,17.18,1887.6,NA,,NA,,NA,,20,4253
Hebei,groundwater,C,C030000,1,114.85,38.52,xlarge,21.3,1523.7,0.004,,0.74,,0.05,<,20,618
Hebei,groundwater,C,C030000,1,115.3,38.4,large,13.1,1274.5,0.004,,0.28,,NA,,20,35
Hebei,groundwater,C,C030000,1,115.88,39.3,large,9,812,0.004,,0.1,,0.05,<,20,907
Hebei,groundwater,C,C020000,1,115.16,44.78,xlarge,27,1765,0.004,,0.61,,0.05,<,346,4044
Hebei,groundwater,C,C020000,1,114.85,40.86,large,19,1049,0.004,,0.61,,0.05,<,346,4045
Hebei,groundwater,C,C020000,1,114.81,40.71,large,9,375,0.004,,0.61,,0.05,<,346,3809
Hebei,groundwater,C,C020000,1,114.95,40.65,xlarge,29,2412,0.004,,0.56,,0.05,<,346,3720
Hebei,groundwater,C,C020000,1,115.28,40.49,large,5,110,NA,,2.1,,NA,,346,3796
Hebei,groundwater,C,C030000,1,114.95,41.4,small,0.59,13,0.004,,1.69,,0.05,<,346,290
Hebei,groundwater,C,C010000,1,115.8,41.87,medium,1.2,34,0.004,,3.8,,0.05,<,346,2614
Hebei,groundwater,C,C030000,1,114.71,41.16,large,7,292,NA,,0.55,,0.05,<,346,4034
Hebei,groundwater,C,C030000,1,114.61,41.85,medium,3.5,169,0.004,,1,,0.05,<,346,1616
Hebei,groundwater,C,C010000,1,115.7,41.66,small,0.1875,35,0.004,,0.51,,0.05,<,346,989
Hebei,groundwater,C,C010000,1,115.7,41.66,small,0.1875,35,0.004,,0.51,,0.05,<,346,988
Hebei,groundwater,C,C010000,1,115.7,41.66,small,0.160714286,30,0.004,,0.51,,0.05,<,346,986
Hebei,groundwater,C,C010000,1,115.7,41.66,small,0.064285714,12,0.004,,0.51,,0.05,<,346,987
Hebei,groundwater,C,C030000,1,113.96,41.08,medium,3.96,80,0.004,,6.18,,NA,,346,2730
Hebei,groundwater,C,C020000,1,114.58,39.85,large,8,465,0.004,,0.36,,0.05,<,346,930
Hebei,groundwater,C,C020000,1,114.16,41.12,medium,2,40,0.004,,1,,0.05,<,346,3804
Hebei,groundwater,C,C020000,1,114.16,40.11,medium,1.93,10,0.004,,1,,0.05,<,346,3802
Hebei,groundwater,C,C020000,1,114.13,40.12,medium,2,22,0.004,,1,,0.05,<,346,3803
Hebei,groundwater,C,C020000,1,114.4,40.65,medium,3.1,164,0.004,,0.96,,0.05,<,346,979
Hebei,groundwater,C,C020000,1,114.4,40.65,medium,2,100,0.004,,0.96,,0.05,<,346,980
Hebei,groundwater,C,C020000,1,114.4,40.65,medium,2,100,0.004,,0.96,,0.05,<,346,978
Hebei,groundwater,C,C020000,1,114.73,40.75,medium,4.3,265,0.004,,0.61,,0.05,<,346,869
Hebei,groundwater,C,C020000,1,115.42,40.38,large,12,502,0.004,,0.53,,0.05,<,346,4233
Hebei,groundwater,C,C020000,1,115.2,40.38,medium,4,313.3,0.004,,1.67,,NA,,346,1837
Hebei,groundwater,C,C020000,1,115.2,40.38,medium,2.01,156.7,0.004,,2.67,,NA,,346,3721
Hebei,groundwater,C,C020000,1,115.83,40.913,medium,4.08,180,0.004,,1,,0.05,<,346,395
Hebei,groundwater,C,C020000,1,115.16,40.97,medium,2.5,134,0.004,,3.79,,0.05,<,346,3028
Hebei,groundwater,C,C010000,1,117.92,41.08,large,15.48544186,1593,0.0005,,0.1,,0.05,<,42,1128
Hebei,groundwater,C,C010000,1,117.92,41.08,large,7.09627907,730,0.0005,,0.1,,0.01,<,42,2554
Hebei,groundwater,C,C010000,1,117.83,41.03,large,6.07,685,0.0016,,0.1,,0.004,,42,3904
Hebei,groundwater,C,C010000,1,117.62,40.52,medium,2.410059641,176.56,0.0005,,0.2,,0.01,<,42,710
Hebei,groundwater,C,C010000,1,117.65,40.53,medium,2.170364086,159,0.0005,,0.1,,0.01,<,42,359
Hebei,groundwater,C,C010000,1,117.6,40.52,small,0.51310683,37.59,0.0005,,0.4,,0.01,<,42,218
Hebei,groundwater,C,C010000,1,117.63,40.52,small,0.376469443,27.58,0.0005,,0.3,,0.01,<,42,1690
Hebei,groundwater,C,C010000,1,117.48,40.6,medium,4.03,301,0.0005,,0.23,,0.01,<,42,3579
Hebei,groundwater,C,C010000,1,117.2,40.18,medium,3.95,180,0.002,,0.1,,0.01,<,42,4251
Hebei,groundwater,C,C010000,1,118.12,41.02,large,5.14,290,NA,,NA,,0.01,<,42,2426
Hebei,groundwater,C,C010000,1,117.32,41.03,medium,3.95,149,NA,,NA,,0.01,<,42,506
Hebei,groundwater,C,C010000,1,116.78,41.13,medium,4.42,250,0.0005,,0.1,,NA,,42,19
Hebei,groundwater,C,C020000,1,115.9,40.88,large,5.2,110,0.004,,0.7,,0.0025,,42,452
Hebei,groundwater,C,C010000,1,118.53,40.58,medium,3.04,731,0.0005,,0.1,,0.01,<,42,2692
Hebei,groundwater,C,C010000,1,117.32,41.58,large,7.56,320,0.0018,,0.1,,0.01,<,42,3269
Hebei,groundwater,C,C030000,1,116.47,38.7,large,11.84678162,360,0.004,,2.15,,0.003,,32,460
Hebei,groundwater,C,C030000,1,116.85,38.32,large,9.87231802,300,0.004,,2.89,,0.002,,32,601
Hebei,groundwater,C,C030000,1,116.47,38.7,large,12.37330525,376,0.004,,2.7,,0.004,,32,1770
Hebei,groundwater,C,C030000,1,116.8,38.58,large,10.8,390,0.004,,0.05,<,0.002,,32,2526
Hebei,groundwater,C,C030000,1,116.47,38.7,large,6,200,0.004,,4.92,,0.003,,32,638
Hebei,groundwater,C,C030000,1,117.57,38.1,medium,2.5,156,0.004,,NA,,0.004,,32,1093
Hebei,groundwater,C,C030000,1,117.23,38.7,medium,4,370.13,0.004,,3.48,,0.004,,32,3756
Hebei,groundwater,C,C030000,1,115.8,38.43,large,5.6,821,0.004,,0.68,,0.002,,32,2976
Hebei,groundwater,C,C030000,1,116.25,37.08,medium,3.9,1260,0.004,,3.39,,0.01,<,32,2266
Hebei,groundwater,C,C030000,1,116.37,37.63,medium,3.2,298.4,0.004,,3.72,,0.002,,32,3333
Hebei,groundwater,C,C030000,1,116.37,37.63,small,0.8,74.6,0.004,,3.12,,0.003,,32,3332
Hebei,groundwater,C,C030000,1,116.13,38.18,medium,4.3,324.6,0.004,,0.71,,0.003,,32,3517
Hebei,groundwater,C,C030000,1,117.15,38.07,medium,3.5,100,0.004,,3.91,,0.004,,32,2115
Hebei,groundwater,C,C030000,1,116.52,38.07,large,14,1205,0.004,,2.98,,0.003,,32,262
Hebei,groundwater,C,C030000,1,116.08,38.68,xlarge,23.2,328,0.004,,1.67,,0.003,,32,2787
Hebei,groundwater,C,C030000,1,117.32,38.35,large,11,300,0.004,,0.94,,0.003,,32,2281
Hebei,groundwater,C,C030000,1,116.7,38.43,large,9.411,588,0.004,,0.8,,0.004,,32,1132
Hebei,groundwater,C,C030000,1,117.47,38.38,medium,1.3,65.2,0.004,,2.18,,0.003,,32,1801
Hebei,groundwater,C,C030000,1,116.37,38.48,medium,2.3,0.625,0.004,,1.91,,0.003,,32,2214
Hebei,groundwater,C,C020000,1,116.7,39.5,xlarge,31.42,1021,NA,,0.8,,NA,,159,1683
Hebei,groundwater,C,C020000,1,116.7,39.48,medium,NA,403,NA,,0.7,,NA,,159,3669
Hebei,groundwater,C,C030000,1,116.3,39.45,large,6.5,98,NA,,NA,,NA,,159,1006
Hebei,groundwater,C,C020000,1,116.98,39.77,large,8.27,450,NA,,1.28,,NA,,159,3530
Hebei,groundwater,C,C020000,1,116.63,38.7,medium,4.26,250,NA,,NA,,NA,,159,442
Hebei,groundwater,C,C030000,1,116.45,38.85,large,5.78,5492,NA,,NA,,NA,,159,3287
Hebei,groundwater,C,C020000,1,116.98,39.88,medium,2.36,176,NA,,NA,,NA,,159,441
Hebei,groundwater,C,C030000,1,116.4,39.1,large,13.23,646.5,0.0174,,1.61,,0.0025,,159,106
Hebei,groundwater,C,C020000,1,117.08,39.95,medium,3.1,561.05,NA,,NA,,NA,,159,1466
Hebei,groundwater,C,C030000,1,115.7,27.72,xlarge,30,4242.44,NA,,0.9,,0.01,,109,3056
Hebei,groundwater,C,C030000,1,115.7,37.5,medium,3.9,1962.1,NA,,1.1,,NA,,109,4013
Hebei,groundwater,C,C030000,1,115.68,37.78,medium,3.5,126,NA,,1.1,,NA,,109,976
Hebei,groundwater,C,C030000,1,115.97,38.03,medium,2.8,260,0.004,,0.13,,NA,,109,3357
Hebei,groundwater,C,C030000,1,115.7,38.2,medium,1.88,113.4,NA,,0.6,,NA,,109,2583
Hebei,groundwater,C,C030000,1,115.52,38.23,large,7.6547,660.6,NA,,0.37,,NA,,109,44
Hebei,groundwater,C,C030000,1,115.95,37.33,large,6.5,195,NA,,1.5,,NA,,109,1007
Hebei,groundwater,C,C030000,1,116.25,37.68,large,6.3,317,0.025,,1.6,,0.03,,109,1549
Hebei,groundwater,C,C030000,1,116.05,37.75,medium,3,1608,NA,,1.8,,NA,,109,879
Hebei,groundwater,C,C030000,1,115.18,37.32,large,8.4278,828,0.014,,0.78,,NA,,109,1391
Hebei,groundwater,C,C030000,1,115.5,37.98,large,9.7,728,NA,,0.5,,NA,,109,2754
Shanxi,reservoir,D,D050000,5,111.912,38.073,xlarge,32.99546663,4976,0.004,,0.548,,0.004,,264,798
Shanxi,reservoir,D,D050000,5,111.912,38.073,large,7.4,4976,0.004,,0.548,,0.004,,264,798
Shanxi,reservoir,C,C020000,5,113.25,40.25,medium,1,200,0.0009,<,0.6,,0.008,<,54,4159
Shanxi,reservoir,C,C030000,5,113.6416,38.01,large,6,170,0.004,,0.47,,0.002,,324,3795
Shanxi,reservoir,C,C030000,5,113.4513,38.15,medium,2,30,0.001,,1.01,,0.019,,324,3280
Shanxi,reservoir,C,C030000,5,113.5583,38.22,small,0.5,110,0.007,<,0.53,,NA,,324,3988
Shanxi,reservoir,C,C030000,5,113.5305,37.77,small,0.5,209,0.007,<,0.45,,NA,,324,2729
Shanxi,reservoir,C,C030000,5,113.05,36.32,medium,2.53,164,0.007,<,0.6,,0.014,,351,4053
Shanxi,reservoir,C,C030000,5,113.1141667,37.04166667,medium,NA,80,0.007,<,0.3,,NA,,143,2816
Shanxi,reservoir,C,C030000,5,113.8166667,37.43611111,medium,1.4,42,0.007,<,0.2,,NA,,143,1566
Shanxi,reservoir,C,C030000,5,113.5908333,37.59138889,medium,2.5,135,NA,,0.1,<,NA,,143,2491
Shanxi,reservoir,C,C030000,5,113.5402778,37.67444444,medium,1.4,120,NA,,0.1,<,NA,,143,1014
Shanxi,reservoir,C,C030000,5,113.6725,37.5425,small,0.27,10,NA,,0.1,<,NA,,143,1063
Shanxi,reservoir,D,D050000,5,112.4708333,37.27361111,medium,3.4,130,0.007,<,0.4,,NA,,143,4260
