Index,Type,Year,Depth,SA,Flow_Q,HRT_tau,Dep*SA/Q*365,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
502,Reservoir,,6.744730679,42700000,7591371.647,60.59,13847.29992,,,-0.010253506,-0.007637117,,,,,3741.719267,3637.78262,0.006602686,0.008118656,,,,
503,Reservoir,,16.33333333,105000000,373761465.7,178.85,1674.798119,,,0.001544257,0.001778578,,,,,477.6938632,175.9924759,0.001781244,0.002097666,,,,
504,Reservoir,,12.39520072,1303747.198,303850545.6,110.23,19.41242522,,,0.008356127,0.013717154,,,,,3.848102447,2.280757444,0.010876067,0.021013913,,,,
505,Reservoir,,5.8,91000000,18000000,13.87,10702.61111,0.049315068,0.046010959,0.006621595,0.00693519,,,,,8643.818065,7495.057857,0.015064746,0.016754214,,,,
506,Reservoir,,6.481481481,162000000,16901158.16,8.395,22675.9608,,,0.00276913,0.002801568,,,,,8680.394725,10893.04436,0.009489863,0.009878121,,,,
507,Reservoir,,5.8,3170000,83000000,57.67,80.85409639,0.464345205,0.352238356,0.008789935,0.011447245,,,,,34.34962971,33.37861544,0.006401994,0.007743735,,,,
508,Reservoir,,5.5,16430000,372000000,4.745,88.66458333,3.298060274,2.334936986,0.014562292,0.015077196,,,,,95.03465132,39.19846613,0.05218918,0.059219324,,,,
509,Reservoir,,7.1,235000,120547945.2,348.575,5.051952557,,,0.000792777,0.000913143,,,,,6.843349536,1.259176315,0.003909845,0.008340837,,,,
510,Reservoir,,2.5,200000,4109589.041,89.425,44.40833333,,,0,0,,,,,79.38285462,32.84807777,0.002696808,0.003049788,,,,
511,Reservoir,,3.5,62810000,36000000,81.76,2228.882639,0.941917808,0.714476712,0.003944383,0.004654658,,,,,10340.69064,3660.480687,0.022928175,0.067493406,,,,
512,Reservoir,,3.2,76000000,575000000,7.665,154.3791304,4.240821918,2.225958904,,,,,,,364.1971744,100.9276929,0.001983191,0.001998341,,,,
513,Reservoir,,11.8084507,10515632.95,10000000,159.505,4532.326664,,,-0.000138872,-0.000137345,,,,,4616.634878,3299.867781,0.002659839,0.003313095,,,,
514,Reservoir,,14.79159665,1780803.539,272259981.4,209.875,35.31344764,,,0.003186082,0.004534401,,,,,22.64494615,9.926961575,0.002738801,0.003701183,,,,
515,Reservoir,,15.75562701,1614700.152,124733754.1,44.895,74.44515666,,,0.003077583,0.003300335,,,,,37.41610343,30.54658342,0.011396753,0.014880348,,,,
517,Reservoir,,18.2,1615384615,891000000,12.775,12043.77104,3.527383562,1.34260274,0.009010267,0.009549319,,,,,32245.50634,2431.746903,0.009281547,0.009854221,,,,
518,Reservoir,,18.76923077,958430.3279,309115903.4,95.995,21.241175,,,-0.002633038,-0.002326627,,,,,11.98848017,10.84154184,0.008777772,0.013776228,,,,
519,Reservoir,,29.40663176,3952577.804,295492563.9,105.12,143.57275,,,0.001313206,0.001408165,,,,,652.7655436,377.7144868,0.005092298,0.006734823,,,,
520,Reservoir,,5.118098129,317500,24322715.66,246.74,24.38558281,,,-0.003264033,-0.002241535,,,,,26.54909667,17.87992552,0.003313615,0.005127098,,,,
521,Reservoir,,7.6,23000000,620000000,12.775,102.9064516,,,0.00901636,0.009556155,,,,,21.91726972,13.69829357,0.034337626,0.043102381,,,,
522,Reservoir,,3,152000000,17000000,9.125,9790.588235,0.065810959,0.062830137,,,,,,,7047.433615,5577.687293,0.030415082,0.03505488,,,,
523,Reservoir,,6,44900000,200000000,220.095,491.655,4.557808219,3.378630137,0.002617082,0.003539019,,,,,645.0679864,386.3765342,0.000800923,0.000875854,,,,
524,Reservoir,,3.2,5830000,51000000,112.785,133.5184314,0.211545205,0.206654795,0.005718233,0.0080317,,,,,98.41386993,70.95419543,0.013314417,0.03093642,,,,
525,Reservoir,,15.1,150000000,891000000,17.155,927.8619529,2.555827397,1.938230137,0.01610928,0.018555254,,,,,610.0860204,129.5388126,0.058533553,0.100820012,,,,
526,Reservoir,,3.7,190000,2800000000,258.42,0.091641071,,,0.00196106,0.002553721,,,,,0.153422422,0.010946622,0.001880495,0.002421372,,,,
527,Reservoir,,20.32169009,11856714.75,100407286.1,695.325,875.8945648,,,0.002583283,0.007229467,,,,,478.900851,374.740203,0.001890435,0.003915815,,,,
528,Reservoir,,4.6,18760000,309000000,196.005,101.9354045,1.540767123,1.041287671,,,,,,,95.94584851,50.57432685,0.009991535,0.031059984,,,,
529,Reservoir,,23.42307692,26000000,550178442.1,105.12,404.023464,,,-0.002368577,-0.002096729,,,,,103.1072267,33.3582204,0.001135338,0.001205865,,,,
530,Reservoir,,12,10500000,457000000,5.11,100.6345733,1.727835616,0.808827397,-0.049653028,-0.043854479,,,,,89.05251659,29.62608184,0.02692353,0.028863527,,,,
531,Reservoir,,3.4,18475012.73,83786681.95,76.285,273.6412311,,,-0.0002976,-0.000294248,,,,,779.4243619,515.0890759,0.00506938,0.006189169,,,,
532,Reservoir,,20,10930000,60000000,89.425,1329.816667,0.149917808,0.139890411,0.001032702,0.001081889,,,,,240.553907,150.7204977,0.018565996,0.047645517,,,,
533,Reservoir,,19.5,174000000,589000000,20.075,2102.62309,3.371016438,2.280156164,0.027096137,0.036005331,,,,,1747.79993,361.4768036,0.037951559,0.056901356,,,,
534,Reservoir,,4.101910828,39250000,123287671.2,115.34,476.6494446,,,,,,,,,694.1762471,344.9606159,0.016025583,0.046381078,,,,
535,Reservoir,,15.8,52200000,339000000,24.09,888.0159292,1.81109589,1.729364384,0.031541659,0.047236656,,,,,677.511943,323.2352796,0.052775365,0.106504501,,,,
536,Reservoir,,9.8,360200000,407000000,105.12,3165.688943,3.001764384,1.310205479,0.0083265,0.013313842,,,,,8497.330854,1915.36474,0.014994671,0.036498618,,,,
537,Reservoir,,58,235000000,2182850832,159.505,2279.10672,,,0.004618589,0.006827405,,,,,31780.04109,29314.34824,0.008091873,0.016521797,,,,
538,Reservoir,,14.94949495,39600000,560364085.2,89.425,385.60644,,,0.00256874,0.002887722,,,,,69.46389329,63.67523551,0.008022527,0.011731936,,,,
539,Reservoir,,6.256482577,770500,90397206.8,400.04,19.46438722,,,0.001554065,0.002154957,,,,,12.94877041,7.135969438,0.005438502,0.01951712,,,,
540,Reservoir,,7.8,50600000,355000000,9.125,405.7977465,4.763808219,2.228232877,0.050422795,0.064026858,,,,,3209.447025,410.8896306,0.029506405,0.033860497,,,,
541,Reservoir,,7.6,50600000,420000000,33.215,334.2009524,,,0.011090237,0.013408565,,,,,974.6775994,258.7755203,0.028460162,0.047376076,,,,
542,Reservoir,,21.1,18550000,1374801902,166.805,103.9152076,1621.369863,873.9726027,0.001654393,0.001905198,,,,,330.6706496,71.71830314,0.005809977,0.009805815,,,,
543,Reservoir,,10.68732323,5333333.333,6452047260,6.57,3.224504572,,,0.010555567,0.010930192,,,,,42.31765943,6.865543184,0.021704801,0.023328619,,,,
544,Reservoir,,7.3,50900000,1500000000,30.295,90.41536667,,,0.009120982,0.010505689,,,,,229.0044515,127.3976845,0.000946552,0.000960254,,,,
545,Reservoir,,16,1300000,1020000000,135.78,7.443137255,,,0.00254345,0.003037882,,,,,6.667233448,0.830758453,0.006522345,0.010490854,,,,
546,Reservoir,,16,1300000,815000000,13.14,9.315337423,,,0.021032543,0.024226211,,,,,2.000170034,0.771670538,0.079032891,0.138885411,,,,
547,Reservoir,,5.9,182800000,83000000,209.875,4742.889157,0.232627397,0.261052055,0.003071206,0.004312883,,,,,3435.37293,3246.694417,0.006114549,0.012428808,,,,
548,Reservoir,,24.47368421,22800000,688484977.7,325.215,295.823448,,,0.002970178,0.005003683,,,,,113.2416977,26.64510534,0.007947877,0.037698824,,,,
549,Reservoir,,7.304054054,148000000,35157215.52,6.205,11222.874,,,0.007470028,0.007645858,,,,,3369.517212,2274.424118,0.037693682,0.042466497,,,,
550,Reservoir,,5.283516484,227500000,21892688.09,73,20040.02424,,,0.00410098,0.004780969,,,,,5264.654649,8423.447438,0.007021142,0.009171671,,,,
551,Reservoir,,18.2,6550000,820000000,18.615,53.0629878,,,0.001256458,0.001271267,,,,,11.61920273,10.29831036,0.017574387,0.020789989,,,,
552,Reservoir,,18.2,4130494.505,765919511,325.215,35.82474999,,,0.000850517,0.000979782,,,,,7.435433751,6.169711425,0.004764908,0.011406846,,,,
553,Reservoir,,12.2555205,63400000,13168630.88,112.785,21536.40743,,,0.003474064,0.004253002,,,,,9052.423984,8405.822271,0.005677527,0.007954299,,,,
554,Reservoir,,7.3,36500000,2330000000,166.805,41.74002146,,,0.004550459,0.006811684,,,,,38.8304016,19.52335132,0.006597951,0.012025313,,,,
555,Reservoir,,10.8,109000000,20000000000,21.9,21.4839,309.0410959,312.3287671,0.00316109,0.003273077,,,,,55.66654247,11.45576712,0.021347813,0.027215821,,,,
556,Reservoir,,16.31383548,10572158.43,1045048033,214.985,60.23880574,,,0.001818594,0.00222534,,,,,39.16910618,8.296784419,0.00733035,0.017839221,,,,
557,Reservoir,,18.21273362,13742782.43,1233298652,123.735,74.07546975,,,0.000373202,0.000381953,,,,,48.23578608,8.510046857,0.0059809,0.008857909,,,,
558,Reservoir,,13.1147541,3050000,211398613.2,148.555,69.06384002,,,0.005580534,0.008690814,,,,,171.0677969,124.4129432,0.010028905,0.023132197,,,,
559,Reservoir,,15.71428571,2100000,174403855.9,129.575,69.06383999,,,0.005864083,0.008782026,,,,,124.4129432,124.4129432,0.015863626,0.052563929,,,,
560,Reservoir,,13,1000000,68704549.3,30.295,69.06384,,,-0.003805308,-0.003594158,,,,,124.4129432,77.7580895,0.001864602,0.001918271,,,,
561,CWSF,206,0.7,24170,29664.34621,208.1770134,208.1770135,0.195288925,0.056171268,0.00598565,0.011896939,0.14309593,0.003137106,0.018350799,,0.008826159,0,,,0.005473681,0.000711132,0.009803432,0.032170424
562,CWSF,11,,210000,497376.375,161,0,29.526,1.995,0.016736815,0.085714286,,,,,9.156,6.489,0.002138515,0.002552815,,,,
563,CWSF,210,0.5,1100000,492750,120,407.4074074,,,,,2.42,0.11,0.025758687,,,,,,0.11,2.09,-0.024536991,-0.007894737
564,CWSF,22,0.149416667,283000,238088.2736,117.5691411,64.82467357,9.809249369,1.015313459,0.019291868,0.073669854,6.69045313,0.093191243,0.036351232,,2.859283598,0.048855201,0.034613382,0.489292298,,,,
565,CWSF,206,0.7,24170,75143.129,109.6096796,82.18229773,0.670371313,0.13438131,0.014662486,0.036388899,0.053234573,0.005276771,0.021087496,,0.030657328,0.001918229,0.025284898,0.136685946,0.010497203,0.001212794,0.019689703,0.069842265
566,CWSF,305,0.4572,220000,497398.64,94.9,73.8103345,27.4818168,3.87571008,0.020640629,0.064181058,11.948616,0.64595168,0.030744426,,3.5845848,0.183509,0.03131859,0.195295722,3.5845848,0.1101054,0.036701368,0.332517809
567,CWSF,206,0.7,24170,56581.46771,84.565519,109.1423614,0.286383659,0.085843769,0.014246981,0.02762477,0.002212639,0.002768208,-0.002649001,,0.035089151,0.001473541,0.037488376,0.269764989,0.009641822,0.000786678,0.029634378,0.133108381
568,CWSF,206,0.7,24170,78723.94222,78.44417881,78.44417881,,,,,0.226712629,0.019411383,0.031332135,,,,,,,,,
569,CWSF,206,0.7,24170,115248.7053,77.83559322,53.58355206,,,,,,,,,0.015940351,0.01242394,0.003201985,0.003636319,,,,
570,CWSF,22,0.16275,283000,221717.1376,75.92020001,75.82301229,19.31450596,0.780634337,0.042261544,0.31272396,16.05929821,0.012402981,0.094389984,,4.272677523,0.114525126,0.04767113,0.478236017,,,,
571,CWSF,206,0.7,24170,81622.68733,75.65831513,75.65831513,,,,,0.245027793,0.017833051,0.034633578,,,,,,,,,
572,CWSF,22,0.1255,283000,286225.2686,73.24288323,45.29132792,11.86839967,1.215451156,0.03111243,0.119664928,8.505896037,0.040416795,0.073034665,,2.711778098,0.077706767,0.048501879,0.46281056,,,,
573,CWSF,22,0.153083333,283000,279846.5227,70.49495497,56.50505402,18.43980731,1.797861755,0.033022416,0.13130757,16.31836903,0.047007431,0.082980988,,3.609737647,0.192585983,0.041575282,0.25169903,,,,
574,CWSF,22,0.164,283000,272509.6986,68.40933082,62.16431961,10.21984603,1.140774044,0.032051541,0.116339311,8.23869818,0.019332619,0.08850845,,2.219829639,0.075868319,0.04935272,0.413086633,,,,
575,CWSF,305,0.9144,220000,757618.2076,67.1,96.91731173,18.8838108,20.00981421,-0.000863158,-0.000838637,4.2581142,5.289950882,-0.003233719,,4.2581142,2.529976509,0.007758813,0.010179802,2.9621664,2.253979072,0.004071889,0.004682478
576,CWSF,22,0.17,283000,251694.6709,64.93350274,69.76766706,21.869829,1.865287294,0.037910983,0.165163487,19.32076487,0.027915847,0.100714437,,4.811074563,0.27598678,0.04401923,0.253062962,,,,
577,CWSF,305,0.42672,220000,504142.8786,64.4,67.96806512,31.0152906,1.468805511,0.047360727,0.312360179,10.99833,0.343284047,0.05383448,,3.299499,0.320773617,0.036192396,0.144193591,2.8595658,0.320773617,0.033970333,0.122897385
578,CWSF,22,0.171666667,283000,399658.4376,62.33180979,44.36865758,11.24731446,1.179840543,0.036173345,0.13689496,10.01594442,0.005465681,0.120539493,,2.549533517,0.025302693,0.074003224,1.600488598,,,,
579,CWSF,22,0.183,283000,290218.1272,60.0332481,65.13371574,24.76502565,1.979114053,0.042089728,0.19178019,18.21565682,0.155590206,0.079336222,,4.127995312,0.231596337,0.047982599,0.280246303,,,,
580,CWSF,206,0.7,24170,104977.9154,58.77586289,58.82603952,0.961959519,0.323915554,0.018519329,0.0335135,0.771020037,0.01359925,0.068696562,,0.022653632,0.005785871,0.023222139,0.049600913,0.018076905,0.001385265,0.043704055,0.205006225
581,CWSF,305,0.73152,220000,692596.6349,58.6,84.8127944,12.139809,5.840477686,0.012485964,0.018405536,7.49628,3.939325125,0.010979479,,1.66584,0.171275005,0.038819357,0.148909772,1.45761,0.171275005,0.036540664,0.128162945
582,CWSF,22,0.102333333,283000,319422.1399,58.36733298,33.09263921,9.414017914,2.336373303,0.023876369,0.051901113,8.114752275,0.047742817,0.08798775,,2.395475206,0.162210695,0.046129242,0.235879843,,,,
583,CWSF,206,0.7,24170,156369.9357,58.03434974,39.49247003,2.842313086,2.41300538,0.002821522,0.003065669,0.899547323,0.265417333,0.021032169,,0.050332628,0.00909371,0.029483755,0.078141372,0.026435204,0.007190375,0.022434183,0.046118731
584,CWSF,305,0.61341,220000,651171.9455,57.6375,75.64334327,29.09799395,5.801359871,0.027977912,0.069671993,6.45028392,1.306308378,0.027706251,,4.54304856,0.688647869,0.03273257,0.09710789,3.5126508,0.513090986,0.033375373,0.101428034
585,CWSF,206,0.7,24170,108609.1382,57.23286694,56.85925791,,,,,,,,,0.015372076,0.003993356,0.023551513,0.049786302,,,,
586,CWSF,204,0.66,70000,297106.35,56.75745402,56.75745402,,,,,,,,,27.67566,0,,,,,,
587,CWSF,305,1.15824,220000,1106639.401,56.5,84.04424415,31.755075,3.91094241,0.0370668,0.126009656,3.5565684,2.14925664,0.008914586,,8.891421,0.4580383,0.052493617,0.325875392,5.5888932,0.246636008,0.055232265,0.383371534
588,CWSF,201,0.2297,182200,725583.5,54.3312216,21.0530409,,,,,,,,,3.38892,0.2733,0.046339773,0.209824106,,,,
589,CWSF,206,0.7,24170,112703.7775,53.972865,54.79350504,0.961959519,0.323915554,0.020167348,0.036495837,0.771020037,0.01359925,0.074809809,,0.038365531,0.005608635,0.035626274,0.108210675,0.018076905,0.001385265,0.04759324,0.223249549
590,CWSF,22,0.174,283000,420444.0034,49.85755945,42.74845129,17.3848305,1.179696263,0.053960544,0.275518911,11.59852794,0.084760356,0.098657166,,2.474235929,0.06541624,0.072865908,0.738563255,,,,
591,CWSF,305,0.48768,220000,543103.9958,48.7,72.10535055,32.2885224,2.608273654,0.051663722,0.233660564,10.0609164,0.636164306,0.056693155,,2.48013288,0.62344102,0.028353455,0.061152681,2.8076976,0.419868442,0.039018042,0.116778006
