sys.sample.code,sys.loc.code,soil.type,sample.type,parent.sample.code,bkg.char.group,start.depth,sample.date,chemical.name,detect.lag,final.detect.flag,final.result.value,final.detection.limit,combo.result
DT12(0-4),DT-12,alluvial,N,,background,0,3/26/2002,Beryllium,Y,Y,0.6,,0.6
DT15(0-4),DT-15,alluvial,N,,background,0,3/26/2002,Beryllium,Y,Y,0.7,,0.7
DT12(4-8),DT-12,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.7,,0.7
DT15(4-8),DT-15,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.8,,0.8
DT14(4-8),DT-14,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.7,,0.7
DT7(4-8),DT-7,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.8,,0.8
DT6(0-4),DT-6,alluvial,N,,background,0,3/26/2002,Beryllium,Y,Y,0.6,,0.6
DT6(4-8),DT-6,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.8,,0.8
DT16 (0-4),DT-16,alluvial,N,,background,0,3/26/2002,Beryllium,Y,Y,0.7,,0.7
DT16(4-8),DT-16,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.75,,0.75
DT7(0-4),DT-7,alluvial,N,,background,0,3/26/2002,Beryllium,Y,Y,0.7,,0.7
DT5(4-8),DT-5,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.7,,0.7
DT15(4-8),DT-15,alluvial,N,,background,4,3/26/2002,Barium,Y,Y,178,,178
DT5(0-4),DT-5,alluvial,N,,background,0,3/26/2002,Barium,Y,Y,140,,140
DT12(0-4),DT-12,alluvial,N,,background,0,3/26/2002,Barium,Y,Y,147,,147
DT8(0-4),DT-8,alluvial,N,,background,0,3/26/2002,Barium,Y,Y,185,,185
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Strontium,Y,Y,40.1,,40.1
DT8(4-8),DT-8,alluvial,N,,background,4,3/26/2002,Beryllium,Y,Y,0.6,,0.6
DT6(4-8),DT-6,alluvial,N,,background,4,3/26/2002,Calcium,Y,Y,4770,,4770
