sys.sample.code,sys.loc.code,soil.type,sample.type,parent.sample.code,bkg.char.group,start.depth,sample.date,chemical.name,detect.lag,final.detect.flag,final.result.value,final.detection.limit,combo.result
3-B4-7,03B04,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Lead,Y,Y,16,,16
3-B7-10,03B07,alluvial,N,,IWOU-AR 03,10,7/30/1990,Lead,Y,Y,608,,608
3-B4-2,03B04,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Mercury,Y,Y,0.098,,0.098
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Lead,Y,Y,67.4,,67.4
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Mercury,Y,Y,0.108,,0.108
3-B2-5,03B02,alluvial,N,,IWOU-AR 03,5,7/30/1990,Lead,Y,Y,112,,112
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Lead,Y,Y,3800,,3800
3-B8-10,03B08,alluvial,N,,IWOU-AR 03,10,7/30/1990,Lead,Y,Y,78.9,,78.9
3-B2-10,03B02,alluvial,N,,IWOU-AR 03,10,7/30/1990,Lead,Y,Y,54.1,,54.1
3-B8-10,03B08,alluvial,N,,IWOU-AR 03,10,7/30/1990,Copper,Y,Y,32.3,,32.3
3-B2-5,03B02,alluvial,N,,IWOU-AR 03,5,7/30/1990,Copper,Y,Y,39.2,,39.2
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Copper,Y,Y,40.6,,40.6
3-B2-7,03B02,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Copper,Y,Y,23.1,,23.1
3-B4-2,03B04,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Copper,Y,Y,38.5,,38.5
3-B2-2,03B02,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Arsenic,Y,Y,5.67,,5.67
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Lead,Y,Y,18.2,,18.2
3-B4-7,03B04,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Nickel,Y,Y,18,,18
DT6(0-4),DT-6,alluvial,N,,background,0,3/26/2002,Barium,Y,Y,170,,170
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Zinc,Y,Y,66.5,,66.5
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Zinc,Y,Y,373,,373
3-B4-10,03B04,alluvial,N,,IWOU-AR 03,10,7/30/1990,Zinc,Y,Y,23,,23
3-B8-10,03B08,alluvial,N,,IWOU-AR 03,10,7/30/1990,Zinc,Y,Y,69.6,,69.6
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Zinc,Y,Y,83.9,,83.9
3-B7-5,03B07,alluvial,N,,IWOU-AR 03,5,7/30/1990,Zinc,Y,Y,101,,101
3-B8-10,03B08,alluvial,N,,IWOU-AR 03,10,7/30/1990,Nickel,Y,Y,12.6,,12.6
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Nickel,Y,Y,17.3,,17.3
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Mercury,Y,Y,2.7,,2.7
3-B4-2,03B04,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Nickel,Y,Y,25.2,,25.2
3-B7-5,03B07,alluvial,N,,IWOU-AR 03,5,7/30/1990,Copper,Y,Y,197,,197
3-B2-2,03B02,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Nickel,Y,Y,33.2,,33.2
3-B7-10,03B07,alluvial,N,,IWOU-AR 03,10,7/30/1990,Nickel,Y,Y,22,,22
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Nickel,Y,Y,17.2,,17.2
3-B2-10,03B02,alluvial,N,,IWOU-AR 03,10,7/30/1990,Nickel,Y,Y,34,,34
3-B7-5,03B07,alluvial,N,,IWOU-AR 03,5,7/30/1990,Nickel,Y,Y,6.6,,6.6
3-B2-7,03B02,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Nickel,Y,Y,29.3,,29.3
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Nickel,Y,Y,17.7,,17.7
3-B4-10,03B04,alluvial,N,,IWOU-AR 03,10,7/30/1990,Nickel,Y,Y,9.36,,9.36
3-B2-5,03B02,alluvial,N,,IWOU-AR 03,5,7/30/1990,Nickel,Y,Y,20.9,,20.9
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Mercury,Y,Y,0.077,,0.077
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Nickel,Y,Y,18.3,,18.3
3-B4-7,03B04,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Barium,Y,Y,268,,268
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Copper,Y,Y,33.2,,33.2
